drugbank_id	group	drugbank-id	id	name	organism	known_action	position	resource	uniprot_ids
DB00001	approved	DB00001	BE0000048	Prothrombin	Humans	yes	NA	UniProtKB	P00734
DB00002	approved	DB00002	BE0000767	Epidermal growth factor receptor	Humans	yes	1	UniProtKB	P00533
DB00004	approved	DB00004	BE0000658	Interleukin-2 receptor subunit alpha	Humans	yes	1	UniProtKB	P01589
DB00004	approved	DB00004	BE0000651	Interleukin-2 receptor subunit beta	Humans	yes	2	UniProtKB	P14784
DB00005	approved	DB00005	BE0000704	Tumor necrosis factor	Humans	yes	1	UniProtKB	P01375
DB00005	approved	DB00005	BE0001087	Lymphotoxin-alpha	Humans	yes	8	UniProtKB	P01374
DB00006	approved	DB00006	BE0000048	Prothrombin	Humans	yes	NA	UniProtKB	P00734
DB00007	approved	DB00007	BE0000203	Gonadotropin-releasing hormone receptor	Humans	yes	NA	UniProtKB	P30968
DB00008	approved	DB00008	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	NA	UniProtKB	P48551
DB00008	approved	DB00008	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	NA	UniProtKB	P17181
DB00009	approved	DB00009	BE0000211	Plasminogen	Humans	yes	1	UniProtKB	P00747
DB00009	approved	DB00009	BE0000538	Fibrinogen alpha chain	Humans	yes	2	UniProtKB	P02671
DB00010	approved	DB00010	BE0000625	Growth hormone-releasing hormone receptor	Humans	yes	NA	UniProtKB	Q02643
DB00011	approved	DB00011	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	2	UniProtKB	P17181
DB00011	approved	DB00011	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	1	UniProtKB	P48551
DB00012	approved	DB00012	BE0000654	Erythropoietin receptor	Humans	yes	NA	UniProtKB	P19235
DB00013	approved	DB00013	BE0000969	Plasminogen activator inhibitor 2	Humans	yes	4	UniProtKB	P05120
DB00013	approved	DB00013	BE0000211	Plasminogen	Humans	yes	1	UniProtKB	P00747
DB00013	approved	DB00013	BE0000717	Urokinase plasminogen activator surface receptor	Humans	yes	2	UniProtKB	Q03405
DB00013	approved	DB00013	BE0000240	Plasminogen activator inhibitor 1	Humans	yes	3	UniProtKB	P05121
DB00014	approved	DB00014	BE0000134	Lutropin-choriogonadotropic hormone receptor	Humans	yes	1	UniProtKB	P22888
DB00014	approved	DB00014	BE0000203	Gonadotropin-releasing hormone receptor	Humans	yes	2	UniProtKB	P30968
DB00015	approved	DB00015	BE0000211	Plasminogen	Humans	yes	1	UniProtKB	P00747
DB00015	approved	DB00015	BE0000538	Fibrinogen alpha chain	Humans	yes	2	UniProtKB	P02671
DB00016	approved	DB00016	BE0000654	Erythropoietin receptor	Humans	yes	NA	UniProtKB	P19235
DB00018	approved	DB00018	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	NA	UniProtKB	P48551
DB00018	approved	DB00018	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	NA	UniProtKB	P17181
DB00019	approved	DB00019	BE0000793	Granulocyte colony-stimulating factor receptor	Humans	yes	NA	UniProtKB	Q99062
DB00020	approved	DB00020	BE0000628	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	Humans	yes	1	UniProtKB	P15509
DB00020	approved	DB00020	BE0002115	Cytokine receptor common subunit beta	Humans	yes	3	UniProtKB	P32927
DB00020	approved	DB00020	BE0001036	Interleukin-3 receptor subunit alpha	Humans	yes	2	UniProtKB	P26951
DB00022	approved	DB00022	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	NA	UniProtKB	P17181
DB00022	approved	DB00022	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	NA	UniProtKB	P48551
DB00024	approved	DB00024	BE0000490	Thyrotropin receptor	Humans	yes	NA	UniProtKB	P16473
DB00025	approved	DB00025	BE0000216	Coagulation factor X	Humans	yes	1	UniProtKB	P00742
DB00025	approved	DB00025	BE0000364	Coagulation factor IX	Humans	yes	2	UniProtKB	P00740
DB00025	approved	DB00025	BE0001043	von Willebrand factor	Humans	yes	3	UniProtKB	P04275
DB00026	approved	DB00026	BE0000565	Interleukin-1 receptor type 1	Humans	yes	1	UniProtKB	P14778
DB00028	approved	DB00028	BE0002097	Low affinity immunoglobulin gamma Fc region receptor III-A	Humans	yes	6	UniProtKB	P08637
DB00028	approved	DB00028	BE0002099	Low affinity immunoglobulin gamma Fc region receptor II-b	Humans	yes	4	UniProtKB	P31994
DB00028	approved	DB00028	BE0004685	Complement C4-A	Humans	yes	11	UniProtKB	P0C0L4
DB00028	approved	DB00028	BE0004684	High affinity immunoglobulin gamma Fc receptor IB	Humans	yes	2	UniProtKB	Q92637
DB00028	approved	DB00028	BE0004686	Complement C4-B	Humans	yes	12	UniProtKB	P0C0L5
DB00028	approved	DB00028	BE0000901	Low affinity immunoglobulin gamma Fc region receptor III-B	Humans	yes	7	UniProtKB	O75015
DB00028	approved	DB00028	BE0003455	Complement C3	Humans	yes	8	UniProtKB	P01024
DB00028	approved	DB00028	BE0002098	Low affinity immunoglobulin gamma Fc region receptor II-a	Humans	yes	3	UniProtKB	P12318
DB00028	approved	DB00028	BE0002100	Low affinity immunoglobulin gamma Fc region receptor II-c	Humans	yes	5	UniProtKB	P31995
DB00028	approved	DB00028	BE0000710	High affinity immunoglobulin gamma Fc receptor I	Humans	yes	1	UniProtKB	P12314
DB00028	approved	DB00028	BE0000855	Complement C5	Humans	yes	12	UniProtKB	P01031
DB00029	approved	DB00029	BE0000211	Plasminogen	Humans	yes	1	UniProtKB	P00747
DB00029	approved	DB00029	BE0000538	Fibrinogen alpha chain	Humans	yes	2	UniProtKB	P02671
DB00030	approved	DB00030	BE0000033	Insulin receptor	Humans	yes	1	UniProtKB	P06213
DB00031	approved	DB00031	BE0000211	Plasminogen	Humans	yes	1	UniProtKB	P00747
DB00031	approved	DB00031	BE0000538	Fibrinogen alpha chain	Humans	yes	2	UniProtKB	P02671
DB00032	approved	DB00032	BE0000134	Lutropin-choriogonadotropic hormone receptor	Humans	yes	NA	UniProtKB	P22888
DB00032	approved	DB00032	BE0000387	Follicle-stimulating hormone receptor	Humans	yes	NA	UniProtKB	P23945
DB00033	approved	DB00033	BE0000711	Interferon gamma receptor 1	Humans	yes	NA	UniProtKB	P15260
DB00033	approved	DB00033	BE0000467	Interferon gamma receptor 2	Humans	yes	NA	UniProtKB	P38484
DB00034	approved	DB00034	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	NA	UniProtKB	P48551
DB00034	approved	DB00034	BE0000661	Interferon alpha/beta receptor 1	Humans	yes	NA	UniProtKB	P17181
DB00035	approved	DB00035	BE0000773	Vasopressin V1b receptor	Humans	yes	3	UniProtKB	P47901
DB00035	approved	DB00035	BE0000293	Vasopressin V2 receptor	Humans	yes	1	UniProtKB	P30518
DB00035	approved	DB00035	BE0000165	Vasopressin V1a receptor	Humans	yes	2	UniProtKB	P37288
DB00038	approved	DB00038	BE0000416	Interleukin-11 receptor subunit alpha	Humans	yes	NA	UniProtKB	Q14626
DB00039	approved	DB00039	BE0000748	Fibroblast growth factor receptor 2	Humans	yes	1	UniProtKB	P21802
DB00040	approved	DB00040	BE0000527	Glucagon receptor	Humans	yes	NA	UniProtKB	P47871
DB00041	approved	DB00041	BE0002102	Cytokine receptor common subunit gamma	Humans	yes	NA	UniProtKB	P31785
DB00041	approved	DB00041	BE0000658	Interleukin-2 receptor subunit alpha	Humans	yes	NA	UniProtKB	P01589
DB00041	approved	DB00041	BE0000651	Interleukin-2 receptor subunit beta	Humans	yes	NA	UniProtKB	P14784
DB00042	approved	DB00042	BE0002138	Synaptotagmin-2	Humans	yes	3	UniProtKB	Q8N9I0
DB00042	approved	DB00042	BE0002136	Vesicle-associated membrane protein 1	Humans	yes	2	UniProtKB	P23763
DB00042	approved	DB00042	BE0002137	Vesicle-associated membrane protein 2	Humans	yes	1	UniProtKB	P63027
DB00043	approved	DB00043	BE0000015	High affinity immunoglobulin epsilon receptor subunit alpha	Humans	yes	NA	UniProtKB	P12319
DB00043	approved	DB00043	BE0002139	High affinity immunoglobulin epsilon receptor subunit beta	Humans	yes	NA	UniProtKB	Q01362
DB00044	approved	DB00044	BE0000134	Lutropin-choriogonadotropic hormone receptor	Humans	yes	NA	UniProtKB	P22888
DB00045	approved	DB00045	BE0001164	Toll-like receptor 2	Humans	yes	1	UniProtKB	O60603
DB00046	approved	DB00046	BE0000033	Insulin receptor	Humans	yes	1	UniProtKB	P06213
DB00047	approved	DB00047	BE0000033	Insulin receptor	Humans	yes	NA	UniProtKB	P06213
DB00048	approved	DB00048	BE0000025	Collagen alpha-1(I) chain	Humans	yes	NA	UniProtKB	P02452
DB00048	approved	DB00048	BE0002130	Collagen alpha-1(III) chain	Humans	yes	NA	UniProtKB	P02461
DB00048	approved	DB00048	BE0002140	Collagen alpha-1(II) chain	Humans	yes	NA	UniProtKB	P02458
DB00050	approved	DB00050	BE0000203	Gonadotropin-releasing hormone receptor	Humans	yes	NA	UniProtKB	P30968
DB00051	approved	DB00051	BE0000704	Tumor necrosis factor	Humans	yes	NA	UniProtKB	P01375
DB00052	approved	DB00052	BE0000075	Growth hormone receptor	Humans	yes	NA	UniProtKB	P10912
DB00052	approved	DB00052	BE0000345	Prolactin receptor	Humans	yes	NA	UniProtKB	P16471
DB00054	approved	DB00054	BE0000439	Integrin alpha-IIb	Humans	yes	2	UniProtKB	P08514
DB00054	approved	DB00054	BE0001155	Integrin beta-3	Humans	yes	1	UniProtKB	P05106
DB00055	approved	DB00055	BE0000041	Coagulation factor V	Humans	yes	NA	UniProtKB	P12259
DB00055	approved	DB00055	BE0000016	Coagulation factor VIII	Humans	yes	NA	UniProtKB	P00451
DB00056	approved	DB00056	BE0000674	Myeloid cell surface antigen CD33	Humans	yes	NA	UniProtKB	P20138
DB00058	approved	DB00058	BE0000394	Neutrophil elastase	Humans	yes	NA	UniProtKB	P08246
DB00060	approved	DB00060	BE0000385	Interferon alpha/beta receptor 2	Humans	yes	2	UniProtKB	P48551
